,Songs,Artists
0,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne"
1,Million Reasons,Lady Gaga
2,Castle On The Hill,Ed Sheeran
3,Rake It Up,Yo Gotti Featuring Nicki Minaj
4,Lucid Dreams,Juice WRLD
5,Thunder,Imagine Dragons
6,Bad Things,Machine Gun Kelly x Camila Cabello
7,Broccoli,D.R.A.M. Featuring Lil Yachty
8,Say Something,Justin Timberlake Featuring Chris Stapleton
9,Havana,Camila Cabello Featuring Young Thug
10,iSpy,KYLE Featuring Lil Yachty
11,Attention,Charlie Puth
12,Too Good At Goodbyes,Sam Smith
13,Stir Fry,Migos
14,I'm Upset,Drake
15,Yikes,Kanye West
16,DNA.,Kendrick Lamar
17,There's Nothing Holdin' Me Back,Shawn Mendes
18,...Ready For It?,Taylor Swift
19,All The Stars,Kendrick Lamar & SZA
20,Fake Love,BTS
21,Kevin's Heart,J. Cole
22,What Lovers Do,Maroon 5 Featuring SZA
23,Don't Matter To Me,Drake Featuring Michael Jackson
24,Strip That Down,Liam Payne Featuring Quavo
25,Congratulations,Post Malone Featuring Quavo
26,Believer,Imagine Dragons
27,Boo'd Up,Ella Mai
28,KOD,J. Cole
29,Something Just Like This,The Chainsmokers & Coldplay
30,Black Beatles,Rae Sremmurd Featuring Gucci Mane
31,ATM,J. Cole
32,Tunnel Vision,Kodak Black
33,Finesse,Bruno Mars & Cardi B
34,Body Like A Back Road,Sam Hunt
35,Malibu,Miley Cyrus
36,Freaky Friday,Lil Dicky Featuring Chris Brown
37,Fake Love,Drake
38,XO TOUR Llif3,Lil Uzi Vert
39,1-800-273-8255,Logic Featuring Alessia Cara & Khalid
40,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie
41,Perfect,Ed Sheeran
42,Side To Side,Ariana Grande Featuring Nicki Minaj
43,Chained To The Rhythm,Katy Perry Featuring Skip Marley
44,Pray For Me,The Weeknd & Kendrick Lamar
45,I Feel It Coming,The Weeknd Featuring Daft Punk
46,Psycho,Post Malone Featuring Ty Dolla $ign
47,The Middle,"Zedd, Maren Morris & Grey"
48,Sad!,XXXTENTACION
49,I Like It,"Cardi B, Bad Bunny & J Balvin"
50,This Is America,Childish Gambino
51,Sign Of The Times,Harry Styles
52,Nice For What,Drake
53,Filthy,Justin Timberlake
54,Never Be The Same,Camila Cabello
55,Sorry Not Sorry,Demi Lovato
56,MotorSport,"Migos, Nicki Minaj & Cardi B"
57,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift
58,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar
59,Scars To Your Beautiful,Alessia Cara
60,Closer,The Chainsmokers Featuring Halsey
61,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B
62,Portland,Drake Featuring Quavo & Travis Scott
63,Bad And Boujee,Migos Featuring Lil Uzi Vert
64,Chun-Li,Nicki Minaj
65,Meant To Be,Bebe Rexha & Florida Georgia Line
66,Girls Like You,Maroon 5 Featuring Cardi B
67,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall
68,That's What I Like,Bruno Mars
69,Look What You Made Me Do,Taylor Swift
70,Walk It Talk It,Migos Featuring Drake
71,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller
72,24K Magic,Bruno Mars
73,Call Out My Name,The Weeknd
74,No Tears Left To Cry,Ariana Grande
75,Emotionless,Drake
76,Yes Indeed,Lil Baby & Drake
77,God's Plan,Drake
78,Humble.,Kendrick Lamar
79,Passionfruit,Drake
80,Better Now,Post Malone
81,Bounce Back,Big Sean
82,In My Feelings,Drake
83,Mi Gente,J Balvin & Willy William Featuring Beyonce
84,Starboy,The Weeknd Featuring Daft Punk
85,Bad At Love,Halsey
86,Mask Off,Future
87,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
88,Paris,The Chainsmokers
89,New Rules,Dua Lipa
90,Shape Of You,Ed Sheeran
91,Bodak Yellow (Money Moves),Cardi B
92,It Ain't Me,Kygo x Selena Gomez
93,Nonstop,Drake
94,Feel It Still,Portugal. The Man
95,Gucci Gang,Lil Pump
96,Rockstar,Post Malone Featuring 21 Savage
97,Love On The Brain,Rihanna
98,Stay,Zedd & Alessia Cara
99,All I Want For Christmas Is You,Mariah Carey
100,Diplomatic Immunity,Drake
101,Look Alive,BlocBoy JB Featuring Drake
102,Unforgettable,French Montana Featuring Swae Lee
103,Let Me Love You,DJ Snake Featuring Justin Bieber
